Log_ID,Timestamp,Date,Time,Severity,Component,Block_ID,Source_IP,Destination_IP,Message,Label_Anomaly,Raw_Log
1,2008-11-09T20:36:15Z,2008-11-09,20:36:15,INFO,dfs.DataNode$PacketResponder,blk_38865049064139660,10.250.19.225,10.250.19.225:50010,PacketResponder 1 for block blk_38865049064139660 terminating,Normal,081109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating
2,2008-11-09T20:38:07Z,2008-11-09,20:38:07,INFO,dfs.DataNode$PacketResponder,blk_-6952295868487656571,10.250.19.225,10.250.19.225:50010,PacketResponder 0 for block blk_-6952295868487656571 terminating,Normal,081109 203807 222 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-6952295868487656571 terminating
3,2008-11-09T20:40:05Z,2008-11-09,20:40:05,INFO,dfs.FSNamesystem,blk_7128370237687728475,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,Normal,081109 204005 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864
4,2008-11-09T20:40:15Z,2008-11-09,20:40:15,INFO,dfs.DataNode$PacketResponder,blk_8229193803249955061,10.250.19.225,10.250.19.225:50010,PacketResponder 2 for block blk_8229193803249955061 terminating,Normal,081109 204015 308 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8229193803249955061 terminating
5,2008-11-09T20:41:06Z,2008-11-09,20:41:06,INFO,dfs.DataNode$PacketResponder,blk_-6670958622368987959,10.250.19.225,10.250.19.225:50010,PacketResponder 2 for block blk_-6670958622368987959 terminating,Normal,081109 204106 329 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6670958622368987959 terminating
6,2008-11-09T20:41:32Z,2008-11-09,20:41:32,INFO,dfs.FSNamesystem,blk_3050920587428079149,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,Normal,081109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864
7,2008-11-09T20:43:24Z,2008-11-09,20:43:24,INFO,dfs.FSNamesystem,blk_7888946331804732825,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,Normal,081109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864
8,2008-11-09T20:44:53Z,2008-11-09,20:44:53,INFO,dfs.FSNamesystem,blk_2377150260128098806,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,Normal,081109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864
9,2008-11-09T20:45:25Z,2008-11-09,20:45:25,INFO,dfs.DataNode$PacketResponder,blk_572492839287299681,10.250.19.225,10.250.19.225:50010,PacketResponder 2 for block blk_572492839287299681 terminating,Normal,081109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating
10,2008-11-09T20:46:55Z,2008-11-09,20:46:55,INFO,dfs.DataNode$PacketResponder,blk_3587508140051953248,10.250.19.225,10.250.19.225:50010,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Normal,081109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84
11,2008-11-09T20:47:22Z,2008-11-09,20:47:22,INFO,dfs.DataNode$PacketResponder,blk_5402003568334525940,10.250.19.225,10.250.19.225:50010,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Normal,081109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112
